block,site,n_test,roc_auc,pr_auc
naive2,CALTECH,36,0.3673,0.5009
naive2,KKI,34,0.5422,0.2997
naive2,LEUVEN_1,28,0.5561,0.6193
naive2,LEUVEN_2,32,0.4939,0.4011
naive2,MAX_MUN,39,0.5882,0.5446
naive2,NYU,169,0.7142,0.6177
naive2,OLIN,24,0.7343,0.8194
naive2,PITT,43,0.5779,0.645
naive2,SBL,24,0.6364,0.7206
naive2,SDSU,32,0.5455,0.3733
naive2,STANFORD,33,0.4074,0.4096
naive2,TRINITY,42,0.5977,0.6277
naive2,UCLA_1,55,0.7579,0.7716
naive2,UM_1,68,0.6411,0.5184
naive2,UM_2,28,0.8396,0.719
naive2,USM,59,0.6981,0.7312
naive2,YALE,48,0.6993,0.5974
physio4,CALTECH,36,0.5123,0.6267
physio4,KKI,34,0.4178,0.2748
physio4,LEUVEN_1,28,0.6224,0.6335
physio4,LEUVEN_2,32,0.6559,0.5411
physio4,MAX_MUN,39,0.5053,0.4822
physio4,NYU,169,0.6332,0.539
physio4,OLIN,24,0.8811,0.8954
physio4,PITT,43,0.5087,0.5344
physio4,SBL,24,0.6783,0.7767
physio4,SDSU,32,0.5281,0.3844
physio4,STANFORD,33,0.4852,0.4643
physio4,TRINITY,42,0.5318,0.5381
physio4,UCLA_1,55,0.664,0.7308
physio4,UM_1,68,0.6269,0.4842
physio4,UM_2,28,0.5775,0.5331
physio4,USM,59,0.7403,0.8248
physio4,YALE,48,0.5962,0.5787
robust4,CALTECH,36,0.463,0.5259
robust4,KKI,34,0.5022,0.3747
robust4,LEUVEN_1,28,0.6684,0.7033
robust4,LEUVEN_2,32,0.6356,0.5389
robust4,MAX_MUN,39,0.5722,0.5232
robust4,NYU,169,0.6513,0.5268
robust4,OLIN,24,0.8322,0.882
robust4,PITT,43,0.5476,0.6283
robust4,SBL,24,0.6084,0.7344
robust4,SDSU,32,0.5671,0.3916
robust4,STANFORD,33,0.4481,0.4195
robust4,TRINITY,42,0.6136,0.6441
robust4,UCLA_1,55,0.6561,0.6891
robust4,UM_1,68,0.6903,0.566
robust4,UM_2,28,0.7754,0.7231
robust4,USM,59,0.756,0.8063
robust4,YALE,48,0.7238,0.6998
