condition,model,site,test_auc,n_test
train_only,logreg,CALTECH,0.6481481481481481,36
train_only,svm_rbf,CALTECH,0.5740740740740741,36
train_only,xgboost,CALTECH,0.5277777777777778,36
leaky_nodx,logreg,CALTECH,0.6450617283950617,36
leaky_nodx,svm_rbf,CALTECH,0.5709876543209876,36
leaky_nodx,xgboost,CALTECH,0.5061728395061729,36
leaky_dx,logreg,CALTECH,0.6481481481481481,36
leaky_dx,svm_rbf,CALTECH,0.5679012345679012,36
leaky_dx,xgboost,CALTECH,0.5092592592592593,36
train_only,logreg,CMU,0.5549450549450549,27
train_only,svm_rbf,CMU,0.6373626373626373,27
train_only,xgboost,CMU,0.4725274725274725,27
leaky_nodx,logreg,CMU,0.5549450549450549,27
leaky_nodx,svm_rbf,CMU,0.6263736263736264,27
leaky_nodx,xgboost,CMU,0.5714285714285714,27
leaky_dx,logreg,CMU,0.5494505494505494,27
leaky_dx,svm_rbf,CMU,0.5934065934065934,27
leaky_dx,xgboost,CMU,0.5,27
train_only,logreg,KKI,0.6009615384615384,42
train_only,svm_rbf,KKI,0.625,42
train_only,xgboost,KKI,0.5889423076923077,42
leaky_nodx,logreg,KKI,0.5961538461538461,42
leaky_nodx,svm_rbf,KKI,0.6274038461538461,42
leaky_nodx,xgboost,KKI,0.5552884615384616,42
leaky_dx,logreg,KKI,0.6298076923076923,42
leaky_dx,svm_rbf,KKI,0.639423076923077,42
leaky_dx,xgboost,KKI,0.6033653846153846,42
train_only,logreg,LEUVEN_1,0.6887755102040817,28
train_only,svm_rbf,LEUVEN_1,0.5867346938775511,28
train_only,xgboost,LEUVEN_1,0.5153061224489796,28
leaky_nodx,logreg,LEUVEN_1,0.6734693877551021,28
leaky_nodx,svm_rbf,LEUVEN_1,0.6020408163265306,28
leaky_nodx,xgboost,LEUVEN_1,0.5306122448979591,28
leaky_dx,logreg,LEUVEN_1,0.673469387755102,28
leaky_dx,svm_rbf,LEUVEN_1,0.5892857142857143,28
leaky_dx,xgboost,LEUVEN_1,0.5459183673469388,28
train_only,logreg,LEUVEN_2,0.7754385964912281,34
train_only,svm_rbf,LEUVEN_2,0.7719298245614036,34
train_only,xgboost,LEUVEN_2,0.7263157894736842,34
leaky_nodx,logreg,LEUVEN_2,0.7614035087719299,34
leaky_nodx,svm_rbf,LEUVEN_2,0.7649122807017543,34
leaky_nodx,xgboost,LEUVEN_2,0.775438596491228,34
leaky_dx,logreg,LEUVEN_2,0.7543859649122807,34
leaky_dx,svm_rbf,LEUVEN_2,0.7614035087719299,34
leaky_dx,xgboost,LEUVEN_2,0.7649122807017543,34
train_only,logreg,MAX_MUN,0.5821678321678322,48
train_only,svm_rbf,MAX_MUN,0.5891608391608392,48
train_only,xgboost,MAX_MUN,0.5122377622377623,48
leaky_nodx,logreg,MAX_MUN,0.5821678321678321,48
