model,condition,site,test_auc,n_test
logreg,harmonized,CALTECH,0.6481481481481481,36
svm_rbf,harmonized,CALTECH,0.5740740740740741,36
xgboost,harmonized,CALTECH,0.5277777777777778,36
logreg,raw,CALTECH,0.5833333333333333,36
svm_rbf,raw,CALTECH,0.6481481481481483,36
xgboost,raw,CALTECH,0.5308641975308641,36
logreg,harmonized,CMU,0.5549450549450549,27
svm_rbf,harmonized,CMU,0.6373626373626373,27
xgboost,harmonized,CMU,0.4725274725274725,27
logreg,raw,CMU,0.5494505494505495,27
svm_rbf,raw,CMU,0.5576923076923077,27
xgboost,raw,CMU,0.48351648351648346,27
logreg,harmonized,KKI,0.6009615384615384,42
svm_rbf,harmonized,KKI,0.625,42
xgboost,harmonized,KKI,0.5889423076923077,42
logreg,raw,KKI,0.6346153846153845,42
svm_rbf,raw,KKI,0.6838942307692308,42
xgboost,raw,KKI,0.670673076923077,42
logreg,harmonized,LEUVEN_1,0.6887755102040817,28
svm_rbf,harmonized,LEUVEN_1,0.5867346938775511,28
xgboost,harmonized,LEUVEN_1,0.5153061224489796,28
logreg,raw,LEUVEN_1,0.663265306122449,28
svm_rbf,raw,LEUVEN_1,0.4336734693877551,28
xgboost,raw,LEUVEN_1,0.45918367346938777,28
logreg,harmonized,LEUVEN_2,0.7754385964912281,34
svm_rbf,harmonized,LEUVEN_2,0.7719298245614036,34
xgboost,harmonized,LEUVEN_2,0.7263157894736842,34
logreg,raw,LEUVEN_2,0.7684210526315789,34
svm_rbf,raw,LEUVEN_2,0.6877192982456141,34
xgboost,raw,LEUVEN_2,0.7017543859649122,34
logreg,harmonized,MAX_MUN,0.5821678321678322,48
svm_rbf,harmonized,MAX_MUN,0.5891608391608392,48
xgboost,harmonized,MAX_MUN,0.5122377622377623,48
logreg,raw,MAX_MUN,0.6171328671328671,48
svm_rbf,raw,MAX_MUN,0.5751748251748252,48
xgboost,raw,MAX_MUN,0.5262237762237763,48
logreg,harmonized,NYU,0.5469560469560469,173
svm_rbf,harmonized,NYU,0.601010101010101,173
xgboost,harmonized,NYU,0.5925470925470927,173
logreg,raw,NYU,0.5589680589680589,173
svm_rbf,raw,NYU,0.5561015561015562,173
xgboost,raw,NYU,0.5887250887250888,173
logreg,harmonized,OHSU,0.4358974358974359,25
svm_rbf,harmonized,OHSU,0.608974358974359,25
xgboost,harmonized,OHSU,0.6474358974358975,25
logreg,raw,OHSU,0.4615384615384615,25
svm_rbf,raw,OHSU,0.6666666666666666,25
xgboost,raw,OHSU,0.7243589743589743,25
logreg,harmonized,OLIN,0.5296296296296297,33
svm_rbf,harmonized,OLIN,0.5592592592592592,33
xgboost,harmonized,OLIN,0.5703703703703704,33
logreg,raw,OLIN,0.548148148148148,33
svm_rbf,raw,OLIN,0.562962962962963,33
xgboost,raw,OLIN,0.5259259259259259,33
logreg,harmonized,PITT,0.5726495726495726,53
svm_rbf,harmonized,PITT,0.6965811965811967,53
xgboost,harmonized,PITT,0.603988603988604,53
logreg,raw,PITT,0.6538461538461539,53
svm_rbf,raw,PITT,0.6581196581196581,53
xgboost,raw,PITT,0.5655270655270654,53
logreg,harmonized,SBL,0.5,27
svm_rbf,harmonized,SBL,0.4230769230769231,27
xgboost,harmonized,SBL,0.5879120879120878,27
logreg,raw,SBL,0.44505494505494503,27
svm_rbf,raw,SBL,0.3434065934065934,27
xgboost,raw,SBL,0.489010989010989,27
logreg,harmonized,SDSU,0.5826446280991735,33
svm_rbf,harmonized,SDSU,0.6115702479338843,33
xgboost,harmonized,SDSU,0.6033057851239669,33
logreg,raw,SDSU,0.6198347107438016,33
svm_rbf,raw,SDSU,0.5867768595041323,33
xgboost,raw,SDSU,0.4793388429752066,33
logreg,harmonized,STANFORD,0.47678018575851394,36
svm_rbf,harmonized,STANFORD,0.631578947368421,36
xgboost,harmonized,STANFORD,0.628482972136223,36
logreg,raw,STANFORD,0.5170278637770898,36
svm_rbf,raw,STANFORD,0.3653250773993808,36
xgboost,raw,STANFORD,0.3529411764705882,36
logreg,harmonized,TRINITY,0.42063492063492064,45
svm_rbf,harmonized,TRINITY,0.490079365079365,45
xgboost,harmonized,TRINITY,0.39087301587301587,45
logreg,raw,TRINITY,0.376984126984127,45
svm_rbf,raw,TRINITY,0.48214285714285715,45
xgboost,raw,TRINITY,0.4285714285714286,45
logreg,harmonized,UCLA_1,0.5072580645161291,71
svm_rbf,harmonized,UCLA_1,0.5838709677419355,71
xgboost,harmonized,UCLA_1,0.5362903225806452,71
logreg,raw,UCLA_1,0.4975806451612903,71
svm_rbf,raw,UCLA_1,0.5709677419354838,71
xgboost,raw,UCLA_1,0.49435483870967745,71
logreg,harmonized,UCLA_2,0.5902777777777778,24
svm_rbf,harmonized,UCLA_2,0.5347222222222222,24
xgboost,harmonized,UCLA_2,0.6111111111111112,24
logreg,raw,UCLA_2,0.5763888888888888,24
svm_rbf,raw,UCLA_2,0.5416666666666667,24
xgboost,raw,UCLA_2,0.4930555555555556,24
logreg,harmonized,UM_1,0.6721970839617899,90
svm_rbf,harmonized,UM_1,0.6701860231271997,90
xgboost,harmonized,UM_1,0.6706887883358472,90
logreg,raw,UM_1,0.6681749622926093,90
svm_rbf,raw,UM_1,0.6324786324786325,90
xgboost,raw,UM_1,0.5967823026646556,90
logreg,harmonized,UM_2,0.5657894736842105,31
svm_rbf,harmonized,UM_2,0.587719298245614,31
xgboost,harmonized,UM_2,0.5877192982456141,31
logreg,raw,UM_2,0.543859649122807,31
svm_rbf,raw,UM_2,0.6578947368421053,31
xgboost,raw,UM_2,0.75,31
logreg,harmonized,USM,0.680952380952381,67
svm_rbf,harmonized,USM,0.4895238095238095,67
xgboost,harmonized,USM,0.520952380952381,67
logreg,raw,USM,0.680952380952381,67
svm_rbf,raw,USM,0.4361904761904762,67
xgboost,raw,USM,0.5828571428571429,67
logreg,harmonized,YALE,0.6568877551020409,56
svm_rbf,harmonized,YALE,0.8010204081632653,56
xgboost,harmonized,YALE,0.6683673469387754,56
logreg,raw,YALE,0.6147959183673469,56
svm_rbf,raw,YALE,0.7538265306122449,56
xgboost,raw,YALE,0.7244897959183674,56
