site,seed,test_auc,val_auc,ece,temperature,n_test,hp,secs
CALTECH,42,0.5555555555555556,0.5926368159203981,0.05755288402239482,3.5687613487243652,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",281.7
CALTECH,123,0.4537037037037037,0.5882587064676617,0.12135658495955999,3.2673146724700928,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",216.7
CALTECH,456,0.5925925925925926,0.5924378109452737,0.10412501626544524,2.569058895111084,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",203.9
CALTECH,789,0.6049382716049383,0.5661691542288557,0.06825338469611275,1.9072539806365967,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",121.5
CALTECH,1234,0.5493827160493827,0.5725373134328359,0.02654859754774308,2.6690165996551514,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",161.7
CMU,42,0.39010989010989006,0.515686274509804,0.07413217756483292,5.167314529418945,27,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",340.4
CMU,123,0.532967032967033,0.5527450980392157,0.038189541410516836,5.646458625793457,27,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",623.9
CMU,456,0.554945054945055,0.5415686274509804,0.03561321232053971,5.660609722137451,27,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",343.6
CMU,789,0.5659340659340659,0.5449019607843136,0.0016900786647090493,3.178881883621216,27,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",207.5
CMU,1234,0.4945054945054945,0.5396078431372549,0.006582092355798763,12.710504531860352,27,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",413.3
KKI,42,0.7067307692307692,0.5856164383561644,0.06527959448950635,2.0824971199035645,42,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",228.0
KKI,123,0.545673076923077,0.5404915390813859,0.01844255697159538,3.6972970962524414,42,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",159.5
KKI,456,0.6274038461538461,0.5870265914585011,0.14799249172210696,2.568213701248169,42,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",191.3
KKI,789,0.6081730769230769,0.5753424657534247,0.10058105843407769,1.8424856662750244,42,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",131.5
KKI,1234,0.6298076923076923,0.5894439967767928,0.07428741455078125,2.7869107723236084,42,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",177.5
LEUVEN_1,42,0.4744897959183674,0.5807843137254902,0.0785300093037741,4.644651889801025,28,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",262.7
LEUVEN_1,123,0.4693877551020408,0.5884313725490196,0.14987958329064505,3.086169481277466,28,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",363.9
LEUVEN_1,456,0.5459183673469388,0.5550980392156862,0.0813516293253217,3.556713581085205,28,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",159.1
LEUVEN_1,789,0.5612244897959183,0.5380392156862744,0.11707920687539242,3.05580997467041,28,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",134.7
