site,seed,test_auc,val_auc,ece,temperature,n_test,hp,secs
CALTECH,42,0.34876543209876537,0.5962189054726369,0.15444810688495633,1.5053108930587769,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",25.8
CALTECH,123,0.41358024691358025,0.5878606965174129,0.020219266414642327,2.2161056995391846,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",24.3
CALTECH,456,0.5030864197530863,0.5767164179104478,0.04913099606831872,3.6317238807678223,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",32.1
CALTECH,789,0.3796296296296297,0.5966169154228855,0.04380012717511923,2.136359691619873,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",22.9
CALTECH,1234,0.42592592592592593,0.6011940298507462,0.10048482484287685,1.6253011226654053,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",23.0
CMU,42,0.48351648351648346,0.5370588235294117,0.0776257846090529,3.616241693496704,27,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",33.3
CMU,123,0.532967032967033,0.5698039215686275,0.02705654833051896,4.570500373840332,27,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",50.1
CMU,456,0.521978021978022,0.5707843137254902,0.03546084077269945,4.890674114227295,27,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",45.0
CMU,789,0.5164835164835165,0.523921568627451,0.008174549650262875,2.3674464225769043,27,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",24.2
CMU,1234,0.5879120879120879,0.5625490196078432,0.10124208750548186,3.618603229522705,27,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",55.3
KKI,42,0.6129807692307693,0.589041095890411,0.11121283968289694,2.0834343433380127,42,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",45.4
KKI,123,0.6201923076923077,0.5491539081385979,0.04704352219899498,3.2510366439819336,42,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",43.8
KKI,456,0.6682692307692308,0.5398871877518131,0.04130337068012779,2.7389087677001953,42,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",33.0
KKI,789,0.7043269230769231,0.5525785656728445,0.14773649261111307,3.568904399871826,42,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",56.5
KKI,1234,0.5576923076923076,0.5493553585817889,0.050644447406132984,2.81255841255188,42,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",38.1
LEUVEN_1,42,0.4897959183673469,0.6141176470588235,0.06391327721732003,4.3848371505737305,28,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",70.7
LEUVEN_1,123,0.5969387755102041,0.6486274509803921,0.11362634386335099,3.370537519454956,28,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",70.7
LEUVEN_1,456,0.5867346938775511,0.5243137254901961,0.01911439214433941,10.299856185913086,28,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",68.9
LEUVEN_1,789,0.6377551020408164,0.5243137254901961,0.21946656703948975,5.798238754272461,28,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",45.6
LEUVEN_1,1234,0.47959183673469385,0.5801960784313724,0.05196033631052295,3.9106853008270264,28,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",53.9
LEUVEN_2,42,0.5473684210526316,0.6013513513513513,0.01644749676480014,2.311069965362549,34,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",39.1
LEUVEN_2,123,0.7824561403508772,0.607114467408585,0.15725852461422185,1.7449125051498413,34,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",43.2
LEUVEN_2,456,0.5543859649122806,0.5614069952305246,0.06433126856299012,2.472630023956299,34,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",26.8
LEUVEN_2,789,0.656140350877193,0.6055246422893481,0.036765480742735,1.5813510417938232,34,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",33.2
LEUVEN_2,1234,0.5649122807017544,0.5995627980922098,0.10680588203317981,1.247235894203186,34,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",34.1
MAX_MUN,42,0.4877622377622378,0.5855653240646085,0.0479559078812599,4.683945178985596,48,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",69.2
MAX_MUN,123,0.5699300699300699,0.6712328767123288,0.05125899861256279,2.19455885887146,48,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",71.7
MAX_MUN,456,0.6730769230769231,0.6424044162747903,0.18278951818744338,1.8720616102218628,48,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",59.9
MAX_MUN,789,0.6328671328671328,0.6060110406869761,0.05057090520858768,2.2033259868621826,48,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",51.5
MAX_MUN,1234,0.6468531468531468,0.6101001840114496,0.08052996918559074,2.4843528270721436,48,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",51.4
NYU,42,0.5767130767130767,0.5568616730453799,0.03127151727676392,1.467411756515503,173,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",27.2
NYU,123,0.6154791154791156,0.532258064516129,0.09350623801953528,8.35339069366455,173,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",31.1
NYU,456,0.5999180999181,0.5757244395844723,0.09853636942846929,4.4685869216918945,173,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",38.8
NYU,789,0.5657930657930659,0.5508474576271186,0.02253564210296366,2.7060470581054688,173,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",32.8
NYU,1234,0.5952770952770953,0.5527610716238381,0.07050695860316983,3.235919713973999,173,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",34.3
OHSU,42,0.4615384615384615,0.5741062801932367,0.061408753395080604,3.4944703578948975,25,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",70.2
OHSU,123,0.5448717948717949,0.5982608695652174,0.036450073719024624,5.769141674041748,25,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",54.8
OHSU,456,0.5512820512820512,0.5922705314009661,0.06533590793609621,4.040872097015381,25,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",55.7
OHSU,789,0.5961538461538461,0.6005797101449276,0.20838526964187618,1.9994267225265503,25,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",46.2
