site,honest,paper1
CALTECH,0.5082304526748971,0.7078189300411522
CMU,0.47985347985347987,0.5604395604395606
KKI,0.6193910256410257,0.7099358974358974
LEUVEN_1,0.5170068027210885,0.7278911564625851
LEUVEN_2,0.6619883040935672,0.6865497076023392
MAX_MUN,0.5909090909090909,0.6503496503496503
NYU,0.5765310765310766,0.6264446264446265
OHSU,0.5192307692307693,0.6538461538461539
OLIN,0.5753086419753086,0.6444444444444445
PITT,0.5830959164292497,0.6828110161443495
SBL,0.4249084249084249,0.5860805860805861
SDSU,0.6707988980716254,0.7424242424242425
STANFORD,0.5913312693498453,0.6253869969040248
TRINITY,0.5324074074074074,0.5846560846560847
UCLA_1,0.5365591397849462,0.5830645161290323
UCLA_2,0.46296296296296297,0.6087962962962963
UM_1,0.5884028825205295,0.6601307189542484
UM_2,0.3888888888888889,0.6315789473684211
USM,0.4749206349206349,0.5136507936507936
YALE,0.6913265306122449,0.816751700680272
