site,seed,honest,paper1,inflation,n_test,secs
CALTECH,42,0.5617283950617284,0.7376543209876543,0.17592592592592582,36,68.7
CALTECH,123,0.4382716049382716,0.7253086419753085,0.2870370370370369,36,64.1
CALTECH,456,0.5246913580246912,0.6604938271604939,0.13580246913580263,36,62.3
CMU,42,0.43956043956043955,0.543956043956044,0.10439560439560447,27,62.8
CMU,123,0.5164835164835164,0.565934065934066,0.04945054945054961,27,63.4
CMU,456,0.4835164835164835,0.5714285714285714,0.08791208791208788,27,64.8
KKI,42,0.6274038461538461,0.6923076923076923,0.06490384615384615,42,62.1
KKI,123,0.5889423076923077,0.6778846153846153,0.0889423076923076,42,62.4
KKI,456,0.6418269230769231,0.7596153846153846,0.11778846153846145,42,63.4
LEUVEN_1,42,0.3877551020408163,0.673469387755102,0.2857142857142857,28,64.0
LEUVEN_1,123,0.5714285714285714,0.8010204081632653,0.22959183673469385,28,64.3
LEUVEN_1,456,0.5918367346938775,0.7091836734693877,0.11734693877551017,28,64.5
LEUVEN_2,42,0.680701754385965,0.7263157894736842,0.04561403508771922,34,64.5
LEUVEN_2,123,0.6350877192982456,0.6350877192982456,0.0,34,64.1
LEUVEN_2,456,0.6701754385964912,0.6982456140350878,0.02807017543859658,34,64.6
MAX_MUN,42,0.576923076923077,0.6118881118881119,0.03496503496503489,48,61.8
MAX_MUN,123,0.5716783216783217,0.666083916083916,0.09440559440559437,48,61.9
MAX_MUN,456,0.6241258741258741,0.6730769230769231,0.04895104895104907,48,64.2
NYU,42,0.5442260442260443,0.5997815997815997,0.05555555555555547,173,59.6
NYU,123,0.598007098007098,0.6764946764946765,0.07848757848757859,173,59.5
NYU,456,0.5873600873600874,0.6030576030576031,0.015697515697515763,173,59.0
OHSU,42,0.5448717948717949,0.6794871794871795,0.13461538461538458,25,64.4
OHSU,123,0.5576923076923077,0.6858974358974359,0.1282051282051282,25,65.2
OHSU,456,0.4551282051282051,0.5961538461538463,0.14102564102564114,25,64.9
OLIN,42,0.6000000000000001,0.6000000000000001,0.0,33,66.2
OLIN,123,0.5814814814814815,0.7111111111111111,0.12962962962962965,33,65.7
OLIN,456,0.5444444444444443,0.6222222222222222,0.07777777777777795,33,66.6
PITT,42,0.5911680911680912,0.7022792022792023,0.11111111111111105,53,64.3
PITT,123,0.5769230769230769,0.6851851851851851,0.10826210826210825,53,63.7
PITT,456,0.5811965811965811,0.6609686609686609,0.07977207977207978,53,63.3
SBL,42,0.37912087912087916,0.5494505494505494,0.17032967032967022,27,57.6
SBL,123,0.4230769230769231,0.5659340659340659,0.14285714285714285,27,58.1
SBL,456,0.47252747252747257,0.6428571428571429,0.17032967032967034,27,58.2
SDSU,42,0.7272727272727273,0.78099173553719,0.05371900826446274,33,60.8
SDSU,123,0.5454545454545454,0.6570247933884298,0.11157024793388437,33,61.6
SDSU,456,0.7396694214876033,0.7892561983471075,0.04958677685950419,33,61.5
STANFORD,42,0.5448916408668731,0.6160990712074303,0.07120743034055721,36,61.2
STANFORD,123,0.6222910216718266,0.6222910216718266,0.0,36,61.7
STANFORD,456,0.6068111455108358,0.6377708978328174,0.03095975232198156,36,62.1
TRINITY,42,0.5396825396825397,0.5853174603174602,0.045634920634920584,45,60.8
TRINITY,123,0.5595238095238095,0.6190476190476191,0.059523809523809534,45,61.2
TRINITY,456,0.498015873015873,0.5496031746031745,0.051587301587301515,45,62.6
UCLA_1,42,0.521774193548387,0.5806451612903226,0.058870967741935565,71,61.1
UCLA_1,123,0.5629032258064516,0.5887096774193548,0.02580645161290318,71,61.1
UCLA_1,456,0.5249999999999999,0.5798387096774195,0.05483870967741955,71,61.2
UCLA_2,42,0.4305555555555556,0.5833333333333333,0.15277777777777768,24,61.5
UCLA_2,123,0.5902777777777778,0.5902777777777778,0.0,24,61.4
UCLA_2,456,0.3680555555555556,0.6527777777777778,0.2847222222222222,24,61.5
UM_1,42,0.6274509803921569,0.6772247360482655,0.04977375565610864,90,60.7
UM_1,123,0.5284062342885872,0.6742081447963801,0.1458019105077929,90,60.9
UM_1,456,0.6093514328808446,0.6289592760180995,0.019607843137254943,90,60.9
UM_2,42,0.5043859649122807,0.618421052631579,0.11403508771929827,31,63.5
UM_2,123,0.3771929824561404,0.6359649122807017,0.2587719298245613,31,63.2
UM_2,456,0.2850877192982456,0.6403508771929826,0.35526315789473695,31,63.5
USM,42,0.4904761904761905,0.5057142857142857,0.015238095238095162,67,60.5
USM,123,0.48857142857142855,0.5457142857142856,0.05714285714285705,67,60.3
USM,456,0.44571428571428573,0.4895238095238096,0.043809523809523854,67,60.2
YALE,42,0.7028061224489796,0.8010204081632654,0.09821428571428581,56,60.3
YALE,123,0.6977040816326531,0.8201530612244897,0.12244897959183665,56,60.3
YALE,456,0.6734693877551021,0.8290816326530612,0.1556122448979591,56,60.5
