model,seed,test_auc,val_auc
hetero_fixed,42,0.5708435708435708,0.5727173318753418
hetero_fixed,123,0.5834015834015834,0.5675232367413887
hetero_fixed,456,0.5020475020475021,0.5915800984144342
hetero_adaptive,42,0.5911820911820912,0.5503007107709131
hetero_adaptive,123,0.6102921102921103,0.5229633679606343
hetero_adaptive,456,0.6093366093366094,0.5833788955713505
dummy,42,0.5,
logreg,42,0.5469560469560469,
svm_linear,42,0.5483210483210483,
svm_rbf,42,0.601010101010101,
rf,42,0.618072618072618,
mlp,42,0.5904995904995904,
xgboost,42,0.6025116025116026,
dummy,123,0.5,
logreg,123,0.5469560469560469,
svm_linear,123,0.5477750477750478,
svm_rbf,123,0.6009418509418509,
rf,123,0.6362953862953863,
mlp,123,0.581081081081081,
xgboost,123,0.6025116025116026,
dummy,456,0.5,
logreg,456,0.5469560469560469,
svm_linear,456,0.5477750477750478,
svm_rbf,456,0.601010101010101,
rf,456,0.5942533442533442,
mlp,456,0.6031941031941033,
xgboost,456,0.6025116025116026,
